,job_name,job_href,job_site,job_price_min,job_price_max,job_price_currency
113,Руководитель группы аналитики,https://ekaterinburg.hh.ru/vacancy/67369925?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
114,QA инженер,https://ekaterinburg.hh.ru/vacancy/66929950?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,90000,120000,руб.
115,Programming Team Lead (Engine),https://ekaterinburg.hh.ru/vacancy/67368366?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
116,Ведущий специалист по тестированию на проникновение,https://ekaterinburg.hh.ru/vacancy/66854808?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
117,Системный инженер,https://ekaterinburg.hh.ru/vacancy/50433210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,80000,140000,руб.
118,Инженер по нагрузочному тестированию,https://ekaterinburg.hh.ru/vacancy/67344847?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
119,Backend Java Developer (middle),https://ekaterinburg.hh.ru/vacancy/66576432?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,240000,0,руб.
120,System Analyst (Senior),https://ekaterinburg.hh.ru/vacancy/67339694?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,210000,руб.
121,Инженер-программист группы сопровождения BI,https://ekaterinburg.hh.ru/vacancy/67324150?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
122,Руководитель разработки по телематике и диагностике,https://ekaterinburg.hh.ru/vacancy/67346389?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
123,Руководитель направления настройки риск-стратегий SAS RTDM,https://ekaterinburg.hh.ru/vacancy/55280847?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
124,Middle Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/66700722?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
125,Data Engineer (Релокация на Кипр),https://ekaterinburg.hh.ru/vacancy/67295967?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
126,Стажер - аналитик,https://ekaterinburg.hh.ru/vacancy/67299040?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
127,"Разработчик / Инженер (Wireless, OpenWRT)",https://ekaterinburg.hh.ru/vacancy/67282237?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,210000,0,руб.
128,Аналитик BI,https://ekaterinburg.hh.ru/vacancy/67291488?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
129,Системный инженер-программист С/С++,https://ekaterinburg.hh.ru/vacancy/50161810?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
130,Инженер-программист С++ (проект REGUL),https://ekaterinburg.hh.ru/vacancy/55574051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
131,Ведущий аналитик BI,https://ekaterinburg.hh.ru/vacancy/67274152?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,100000,0,руб.
